name,blk,mode,speed
lyt,1,qwerty,28.13599062
lyt,2,qwerty,26.89532731
lyt,3,qwerty,31.72081064
lyt,4,qwerty,28.38021436
lyt,5,qwerty,31.1941511
lyt,1,sensel,18.23864122
lyt,2,sensel,18.76955162
lyt,3,sensel,25.63573316
lyt,4,sensel,26.92469499
lyt,5,sensel,30.90229668
lyt,1,personal,34.62479353
lyt,2,personal,38.36267832
lyt,3,personal,40.74812699
lyt,4,personal,38.82932483
lyt,5,personal,35.44737542
zcc,1,qwerty,21.91898571
zcc,2,qwerty,24.12795952
zcc,3,qwerty,22.55662267
zcc,4,qwerty,24.06246
zcc,5,qwerty,22.71862877
zcc,1,sensel,27.17735221
zcc,2,sensel,32.80904399
zcc,3,sensel,31.4701941
zcc,4,sensel,34.34921704
zcc,5,sensel,30.10516649
zcc,1,personal,33.03576851
zcc,2,personal,31.82359952
zcc,3,personal,37.24495853
zcc,4,personal,31.55244755
zcc,5,personal,34.3067184
lry,1,qwerty,17.45379877
lry,2,qwerty,13.20531922
lry,3,qwerty,17.59164317
lry,4,qwerty,17.19682591
lry,5,qwerty,20.08593312
lry,1,sensel,30.79824982
lry,2,sensel,25.12423743
lry,3,sensel,29.87731939
lry,4,sensel,29.63038778
lry,5,sensel,34.26978575
lry,1,personal,27.43456554
lry,2,personal,27.81213786
lry,3,personal,27.65673409
lry,4,personal,28.94125797
lry,5,personal,33.33581368
jxt,1,qwerty,27.76407343
jxt,2,qwerty,22.18160671
jxt,3,qwerty,23.844166
jxt,4,qwerty,22.68294154
jxt,5,qwerty,24.7475073
jxt,1,sensel,20.12032745
jxt,2,sensel,22.26229064
jxt,3,sensel,27.55194219
jxt,4,sensel,31.3033343
jxt,5,sensel,33.85560985
jxt,1,personal,29.33589297
jxt,2,personal,31.91802108
jxt,3,personal,31.63662071
jxt,4,personal,30.72181348
jxt,5,personal,27.9829601
ljs,1,qwerty,18.72955758
ljs,2,qwerty,20.33627206
ljs,3,qwerty,22.7567125
ljs,4,qwerty,23.19341208
ljs,5,qwerty,25.20535614
ljs,1,sensel,25.84873994
ljs,2,sensel,27.42637732
ljs,3,sensel,24.48925561
ljs,4,sensel,30.08230854
ljs,5,sensel,27.81428469
ljs,1,personal,32.46776064
ljs,2,personal,31.37003841
ljs,3,personal,34.51018785
ljs,4,personal,30.76564503
ljs,5,personal,32.73911553
hyx,1,qwerty,28.89058047
hyx,2,qwerty,30.67070632
hyx,3,qwerty,29.06915175
hyx,4,qwerty,32.92133028
hyx,5,qwerty,30.96952589
hyx,1,sensel,33.39714954
hyx,2,sensel,40.34120364
hyx,3,sensel,36.80913983
hyx,4,sensel,40.35043077
hyx,5,sensel,36.17704828
hyx,1,personal,40.75637966
hyx,2,personal,38.17752549
hyx,3,personal,38.57050549
hyx,4,personal,42.17890376
hyx,5,personal,44.14959197
zfs,1,qwerty,20.59487904
zfs,2,qwerty,20.68584821
zfs,3,qwerty,17.98555259
zfs,4,qwerty,21.61830657
zfs,5,qwerty,17.33813228
zfs,1,sensel,20.40867369
zfs,2,sensel,21.04868988
zfs,3,sensel,18.60323269
zfs,4,sensel,20.3792197
zfs,5,sensel,21.86556905
zfs,1,personal,22.5001034
zfs,2,personal,21.32658594
zfs,3,personal,28.11455786
zfs,4,personal,25.44114795
zfs,5,personal,29.26415033
kwl,1,qwerty,16.86420799
kwl,2,qwerty,22.22638447
kwl,3,qwerty,21.0330725
kwl,4,qwerty,14.42898076
kwl,5,qwerty,18.94847162
kwl,1,sensel,27.59579645
kwl,2,sensel,30.36941289
kwl,3,sensel,31.24958052
kwl,4,sensel,27.47807188
kwl,5,sensel,31.39211977
kwl,1,personal,29.83001279
kwl,2,personal,28.98944111
kwl,3,personal,31.85239981
kwl,4,personal,29.26563493
kwl,5,personal,28.74465622
yzj,1,qwerty,15.70786452
yzj,2,qwerty,17.70219537
yzj,3,qwerty,23.75415103
yzj,4,qwerty,22.67177184
yzj,5,qwerty,25.51277062
yzj,1,sensel,22.68551462
yzj,2,sensel,30.29293421
yzj,3,sensel,21.35700751
yzj,4,sensel,22.22136043
yzj,5,sensel,23.91193092
yzj,1,personal,27.1892322
yzj,2,personal,34.3081345
yzj,3,personal,33.71803216
yzj,4,personal,31.14547044
yzj,5,personal,33.0917617
cc1,1,qwerty,25.82848348
cc1,2,qwerty,29.10872894
cc1,3,qwerty,29.58093673
cc1,4,qwerty,28.582443
cc1,5,qwerty,32.2766239
cc1,1,sensel,33.28390754
cc1,2,sensel,33.95434035
cc1,3,sensel,33.39822626
cc1,4,sensel,32.59186833
cc1,5,sensel,32.61204883
cc1,1,personal,33.81922022
cc1,2,personal,35.59850755
cc1,3,personal,38.44215679
cc1,4,personal,38.47600975
cc1,5,personal,41.13970769
