mode,top,name,acc
place,0,fsq,0.56047197640118
place,1,fsq,0.6902654867256637
place,2,fsq,0.7345132743362832
place,3,fsq,0.775811209439528
place,4,fsq,0.7964601769911505
place,0,gsh,0.7522935779816514
place,1,gsh,0.8501529051987767
place,2,gsh,0.8899082568807339
place,3,gsh,0.8960244648318043
place,4,gsh,0.8990825688073395
place,0,lc,0.5513196480938416
place,1,lc,0.6744868035190615
place,2,lc,0.7565982404692082
place,3,lc,0.782991202346041
place,4,lc,0.8123167155425219
place,0,luyiqin,0.593939393939394
place,1,luyiqin,0.6909090909090909
place,2,luyiqin,0.7303030303030303
place,3,luyiqin,0.7606060606060606
place,4,luyiqin,0.7848484848484848
place,0,lwk,0.6149253731343284
place,1,lwk,0.7343283582089553
place,2,lwk,0.7850746268656716
place,3,lwk,0.826865671641791
place,4,lwk,0.844776119402985
place,0,lxy,0.676923076923077
place,1,lxy,0.796923076923077
place,2,lxy,0.8461538461538461
place,3,lxy,0.8676923076923077
place,4,lxy,0.8707692307692307
place,0,qdn,0.6636904761904762
place,1,qdn,0.7351190476190477
place,2,qdn,0.7946428571428571
place,3,qdn,0.8154761904761905
place,4,qdn,0.8363095238095238
place,0,wyd,0.6686046511627907
place,1,wyd,0.8226744186046512
place,2,wyd,0.877906976744186
place,3,wyd,0.8982558139534884
place,4,wyd,0.9069767441860465
place,0,cai,0.44047619047619047
place,1,cai,0.5625
place,2,cai,0.6041666666666666
place,3,cai,0.6369047619047619
place,4,cai,0.6607142857142857
place,0,czt,0.5689149560117303
place,1,czt,0.6862170087976539
place,2,czt,0.7419354838709677
place,3,czt,0.7712609970674487
place,4,czt,0.8123167155425219
place,0,wangchen1,0.70625
place,1,wangchen1,0.8125
place,2,wangchen1,0.853125
place,3,wangchen1,0.890625
place,4,wangchen1,0.9125
place,0,fjy,0.5542168674698795
place,1,fjy,0.7048192771084337
place,2,fjy,0.7530120481927711
place,3,fjy,0.7921686746987951
place,4,fjy,0.8132530120481928
hover,0,fsq,0.6023391812865497
hover,1,fsq,0.7339181286549707
hover,2,fsq,0.7865497076023392
hover,3,fsq,0.804093567251462
hover,4,fsq,0.8304093567251462
hover,0,gsh,0.7529761904761905
hover,1,gsh,0.8482142857142857
hover,2,gsh,0.8720238095238095
hover,3,gsh,0.8869047619047619
hover,4,gsh,0.8928571428571429
hover,0,lc,0.6904761904761905
hover,1,lc,0.8244047619047619
hover,2,lc,0.8809523809523809
hover,3,lc,0.8869047619047619
hover,4,lc,0.8958333333333334
hover,0,luyiqin,0.3504531722054381
hover,1,luyiqin,0.44108761329305135
hover,2,luyiqin,0.48942598187311176
hover,3,luyiqin,0.5347432024169184
hover,4,luyiqin,0.5740181268882175
hover,0,lwk,0.6257668711656442
hover,1,lwk,0.7392638036809815
hover,2,lwk,0.8006134969325154
hover,3,lwk,0.8190184049079755
hover,4,lwk,0.843558282208589
hover,0,lxy,0.7379518072289156
hover,1,lxy,0.8433734939759037
hover,2,lxy,0.8825301204819277
hover,3,lxy,0.8975903614457831
hover,4,lxy,0.9096385542168675
hover,0,qdn,0.629080118694362
hover,1,qdn,0.7388724035608308
hover,2,qdn,0.7863501483679525
hover,3,qdn,0.827893175074184
hover,4,qdn,0.8486646884272997
hover,0,wyd,0.6677115987460815
hover,1,wyd,0.7931034482758621
hover,2,wyd,0.8119122257053292
hover,3,wyd,0.8369905956112853
hover,4,wyd,0.8463949843260188
hover,0,cai,0.6201780415430267
hover,1,cai,0.7477744807121661
hover,2,cai,0.8100890207715133
hover,3,cai,0.8397626112759644
hover,4,cai,0.8456973293768546
hover,0,czt,0.5412844036697247
hover,1,czt,0.6788990825688074
hover,2,czt,0.7370030581039755
hover,3,czt,0.7767584097859327
hover,4,czt,0.8012232415902141
hover,0,wangchen1,0.7424242424242424
hover,1,wangchen1,0.8242424242424242
hover,2,wangchen1,0.8636363636363636
hover,3,wangchen1,0.9
hover,4,wangchen1,0.9030303030303031
hover,0,fjy,0.5892857142857143
hover,1,fjy,0.7351190476190477
hover,2,fjy,0.7916666666666666
hover,3,fjy,0.8095238095238095
hover,4,fjy,0.8273809523809523
