mode,top,name,acc
place,0,fsq,0.5752212389380531
place,1,fsq,0.6991150442477876
place,2,fsq,0.7492625368731564
place,3,fsq,0.7876106194690266
place,4,fsq,0.8082595870206489
place,0,gsh,0.7431192660550459
place,1,gsh,0.8623853211009175
place,2,gsh,0.8899082568807339
place,3,gsh,0.8990825688073395
place,4,gsh,0.9051987767584098
place,0,lc,0.5718475073313783
place,1,lc,0.7038123167155426
place,2,lc,0.7595307917888563
place,3,lc,0.7917888563049853
place,4,lc,0.8064516129032258
place,0,luyiqin,0.6333333333333333
place,1,luyiqin,0.7272727272727273
place,2,luyiqin,0.7787878787878788
place,3,luyiqin,0.8181818181818182
place,4,luyiqin,0.8303030303030303
place,0,lwk,0.6477611940298508
place,1,lwk,0.7731343283582089
place,2,lwk,0.8238805970149253
place,3,lwk,0.8477611940298507
place,4,lwk,0.8656716417910447
place,0,lxy,0.7169230769230769
place,1,lxy,0.8246153846153846
place,2,lxy,0.8492307692307692
place,3,lxy,0.8646153846153846
place,4,lxy,0.8830769230769231
place,0,qdn,0.7053571428571429
place,1,qdn,0.7857142857142857
place,2,qdn,0.8333333333333334
place,3,qdn,0.8541666666666666
place,4,qdn,0.8630952380952381
place,0,wyd,0.7151162790697675
place,1,wyd,0.8546511627906976
place,2,wyd,0.8837209302325582
place,3,wyd,0.8924418604651163
place,4,wyd,0.9098837209302325
place,0,cai,0.4732142857142857
place,1,cai,0.6130952380952381
place,2,cai,0.6488095238095238
place,3,cai,0.6815476190476191
place,4,cai,0.6934523809523809
place,0,czt,0.6217008797653959
place,1,czt,0.7595307917888563
place,2,czt,0.8064516129032258
place,3,czt,0.8269794721407625
place,4,czt,0.844574780058651
place,0,wangchen1,0.75
place,1,wangchen1,0.846875
place,2,wangchen1,0.875
place,3,wangchen1,0.89375
place,4,wangchen1,0.90625
place,0,fjy,0.6355421686746988
place,1,fjy,0.7530120481927711
place,2,fjy,0.7951807228915663
place,3,fjy,0.8253012048192772
place,4,fjy,0.8493975903614458
hover,0,fsq,0.6286549707602339
hover,1,fsq,0.7660818713450293
hover,2,fsq,0.8187134502923976
hover,3,fsq,0.8362573099415205
hover,4,fsq,0.8508771929824561
hover,0,gsh,0.7559523809523809
hover,1,gsh,0.8601190476190477
hover,2,gsh,0.8839285714285714
hover,3,gsh,0.8988095238095238
hover,4,gsh,0.9047619047619048
hover,0,lc,0.7053571428571429
hover,1,lc,0.8363095238095238
hover,2,lc,0.8779761904761905
hover,3,lc,0.8898809523809523
hover,4,lc,0.8988095238095238
hover,0,luyiqin,0.4380664652567976
hover,1,luyiqin,0.5468277945619335
hover,2,luyiqin,0.6102719033232629
hover,3,luyiqin,0.6404833836858006
hover,4,luyiqin,0.6586102719033232
hover,0,lwk,0.6687116564417178
hover,1,lwk,0.7699386503067485
hover,2,lwk,0.8312883435582822
hover,3,lwk,0.8496932515337423
hover,4,lwk,0.8680981595092024
hover,0,lxy,0.7620481927710844
hover,1,lxy,0.8644578313253012
hover,2,lxy,0.8975903614457831
hover,3,lxy,0.9186746987951807
hover,4,lxy,0.9246987951807228
hover,0,qdn,0.6498516320474778
hover,1,qdn,0.7537091988130564
hover,2,qdn,0.798219584569733
hover,3,qdn,0.8338278931750742
hover,4,qdn,0.8456973293768546
hover,0,wyd,0.6927899686520376
hover,1,wyd,0.799373040752351
hover,2,wyd,0.8369905956112853
hover,3,wyd,0.8589341692789969
hover,4,wyd,0.8620689655172413
hover,0,cai,0.658753709198813
hover,1,cai,0.8011869436201781
hover,2,cai,0.8338278931750742
hover,3,cai,0.8456973293768546
hover,4,cai,0.8664688427299704
hover,0,czt,0.5902140672782875
hover,1,czt,0.7400611620795107
hover,2,czt,0.7951070336391437
hover,3,czt,0.8195718654434251
hover,4,czt,0.8409785932721713
hover,0,wangchen1,0.7727272727272727
hover,1,wangchen1,0.8515151515151516
hover,2,wangchen1,0.8818181818181818
hover,3,wangchen1,0.9030303030303031
hover,4,wangchen1,0.906060606060606
hover,0,fjy,0.5922619047619048
hover,1,fjy,0.75
hover,2,fjy,0.8005952380952381
hover,3,fjy,0.8214285714285714
hover,4,fjy,0.8333333333333334
