mode,top,name,acc,type,layout
place,0,fsq,0.557522124,general,bikey
place,1,fsq,0.690265487,general,bikey
place,2,fsq,0.737463127,general,bikey
place,3,fsq,0.775811209,general,bikey
place,4,fsq,0.796460177,general,bikey
place,0,gsh,0.755351682,general,bikey
place,1,gsh,0.862385321,general,bikey
place,2,gsh,0.889908257,general,bikey
place,3,gsh,0.896024465,general,bikey
place,4,gsh,0.899082569,general,bikey
place,0,lc,0.548387097,general,bikey
place,1,lc,0.671554252,general,bikey
place,2,lc,0.747800587,general,bikey
place,3,lc,0.7771261,general,bikey
place,4,lc,0.80058651,general,bikey
place,0,luyiqin,0.590909091,general,bikey
place,1,luyiqin,0.690909091,general,bikey
place,2,luyiqin,0.733333333,general,bikey
place,3,luyiqin,0.763636364,general,bikey
place,4,luyiqin,0.784848485,general,bikey
place,0,lwk,0.614925373,general,bikey
place,1,lwk,0.731343284,general,bikey
place,2,lwk,0.788059701,general,bikey
place,3,lwk,0.820895522,general,bikey
place,4,lwk,0.83880597,general,bikey
place,0,lxy,0.689230769,general,bikey
place,1,lxy,0.8,general,bikey
place,2,lxy,0.846153846,general,bikey
place,3,lxy,0.867692308,general,bikey
place,4,lxy,0.870769231,general,bikey
place,0,qdn,0.663690476,general,bikey
place,1,qdn,0.735119048,general,bikey
place,2,qdn,0.791666667,general,bikey
place,3,qdn,0.818452381,general,bikey
place,4,qdn,0.836309524,general,bikey
place,0,wyd,0.677325581,general,bikey
place,1,wyd,0.822674419,general,bikey
place,2,wyd,0.880813953,general,bikey
place,3,wyd,0.901162791,general,bikey
place,4,wyd,0.906976744,general,bikey
place,0,cai,0.446428571,general,bikey
place,1,cai,0.55952381,general,bikey
place,2,cai,0.604166667,general,bikey
place,3,cai,0.639880952,general,bikey
place,4,cai,0.654761905,general,bikey
place,0,czt,0.560117302,general,bikey
place,1,czt,0.68914956,general,bikey
place,2,czt,0.741935484,general,bikey
place,3,czt,0.771260997,general,bikey
place,4,czt,0.815249267,general,bikey
place,0,wangchen1,0.7125,general,bikey
place,1,wangchen1,0.81875,general,bikey
place,2,wangchen1,0.859375,general,bikey
place,3,wangchen1,0.896875,general,bikey
place,4,wangchen1,0.9125,general,bikey
place,0,fjy,0.551204819,general,bikey
place,1,fjy,0.707831325,general,bikey
place,2,fjy,0.756024096,general,bikey
place,3,fjy,0.792168675,general,bikey
place,4,fjy,0.813253012,general,bikey
hover,0,fsq,0.602339181,general,bikey
hover,1,fsq,0.733918129,general,bikey
hover,2,fsq,0.792397661,general,bikey
hover,3,fsq,0.801169591,general,bikey
hover,4,fsq,0.830409357,general,bikey
hover,0,gsh,0.761904762,general,bikey
hover,1,gsh,0.851190476,general,bikey
hover,2,gsh,0.875,general,bikey
hover,3,gsh,0.886904762,general,bikey
hover,4,gsh,0.895833333,general,bikey
hover,0,lc,0.693452381,general,bikey
hover,1,lc,0.824404762,general,bikey
hover,2,lc,0.880952381,general,bikey
hover,3,lc,0.889880952,general,bikey
hover,4,lc,0.895833333,general,bikey
hover,0,luyiqin,0.35347432,general,bikey
hover,1,luyiqin,0.441087613,general,bikey
hover,2,luyiqin,0.486404834,general,bikey
hover,3,luyiqin,0.543806647,general,bikey
hover,4,luyiqin,0.574018127,general,bikey
hover,0,lwk,0.625766871,general,bikey
hover,1,lwk,0.745398773,general,bikey
hover,2,lwk,0.800613497,general,bikey
hover,3,lwk,0.82208589,general,bikey
hover,4,lwk,0.840490798,general,bikey
hover,0,lxy,0.740963855,general,bikey
hover,1,lxy,0.84939759,general,bikey
hover,2,lxy,0.88253012,general,bikey
hover,3,lxy,0.894578313,general,bikey
hover,4,lxy,0.909638554,general,bikey
hover,0,qdn,0.637982196,general,bikey
hover,1,qdn,0.741839763,general,bikey
hover,2,qdn,0.789317507,general,bikey
hover,3,qdn,0.827893175,general,bikey
hover,4,qdn,0.854599407,general,bikey
hover,0,wyd,0.670846395,general,bikey
hover,1,wyd,0.789968652,general,bikey
hover,2,wyd,0.811912226,general,bikey
hover,3,wyd,0.836990596,general,bikey
hover,4,wyd,0.846394984,general,bikey
hover,0,cai,0.62611276,general,bikey
hover,1,cai,0.753709199,general,bikey
hover,2,cai,0.807121662,general,bikey
hover,3,cai,0.839762611,general,bikey
hover,4,cai,0.845697329,general,bikey
hover,0,czt,0.5382263,general,bikey
hover,1,czt,0.678899083,general,bikey
hover,2,czt,0.737003058,general,bikey
hover,3,czt,0.77675841,general,bikey
hover,4,czt,0.801223242,general,bikey
hover,0,wangchen1,0.745454545,general,bikey
hover,1,wangchen1,0.827272727,general,bikey
hover,2,wangchen1,0.863636364,general,bikey
hover,3,wangchen1,0.903030303,general,bikey
hover,4,wangchen1,0.906060606,general,bikey
hover,0,fjy,0.589285714,general,bikey
hover,1,fjy,0.744047619,general,bikey
hover,2,fjy,0.794642857,general,bikey
hover,3,fjy,0.80952381,general,bikey
hover,4,fjy,0.824404762,general,bikey
place,0,fsq,0.575221239,personal,bikey
place,1,fsq,0.699115044,personal,bikey
place,2,fsq,0.749262537,personal,bikey
place,3,fsq,0.787610619,personal,bikey
place,4,fsq,0.808259587,personal,bikey
place,0,gsh,0.743119266,personal,bikey
place,1,gsh,0.862385321,personal,bikey
place,2,gsh,0.889908257,personal,bikey
place,3,gsh,0.899082569,personal,bikey
place,4,gsh,0.905198777,personal,bikey
place,0,lc,0.571847507,personal,bikey
place,1,lc,0.703812317,personal,bikey
place,2,lc,0.759530792,personal,bikey
place,3,lc,0.791788856,personal,bikey
place,4,lc,0.806451613,personal,bikey
place,0,luyiqin,0.633333333,personal,bikey
place,1,luyiqin,0.727272727,personal,bikey
place,2,luyiqin,0.778787879,personal,bikey
place,3,luyiqin,0.818181818,personal,bikey
place,4,luyiqin,0.83030303,personal,bikey
place,0,lwk,0.647761194,personal,bikey
place,1,lwk,0.773134328,personal,bikey
place,2,lwk,0.823880597,personal,bikey
place,3,lwk,0.847761194,personal,bikey
place,4,lwk,0.865671642,personal,bikey
place,0,lxy,0.716923077,personal,bikey
place,1,lxy,0.824615385,personal,bikey
place,2,lxy,0.849230769,personal,bikey
place,3,lxy,0.864615385,personal,bikey
place,4,lxy,0.883076923,personal,bikey
place,0,qdn,0.705357143,personal,bikey
place,1,qdn,0.785714286,personal,bikey
place,2,qdn,0.833333333,personal,bikey
place,3,qdn,0.854166667,personal,bikey
place,4,qdn,0.863095238,personal,bikey
place,0,wyd,0.715116279,personal,bikey
place,1,wyd,0.854651163,personal,bikey
place,2,wyd,0.88372093,personal,bikey
place,3,wyd,0.89244186,personal,bikey
place,4,wyd,0.909883721,personal,bikey
