mode,top,name,acc,gene-pers,touch-model,,
place,0,wangchen1,0.8625,personal,absolute,,
place,1,wangchen1,0.9375,personal,absolute,,
place,2,wangchen1,0.965625,personal,absolute,,
place,3,wangchen1,0.984375,personal,absolute,,
place,4,wangchen1,0.990625,personal,absolute,,
hover,0,wangchen1,0.903030303,personal,absolute,,
hover,1,wangchen1,0.966666667,personal,absolute,,
hover,2,wangchen1,0.975757576,personal,absolute,,
hover,3,wangchen1,0.984848485,personal,absolute,,
hover,4,wangchen1,0.990909091,personal,absolute,,
place,0,cai,0.505952381,personal,absolute,,
place,1,cai,0.651785714,personal,absolute,,
place,2,cai,0.714285714,personal,absolute,,
place,3,cai,0.779761905,personal,absolute,,
place,4,cai,0.806547619,personal,absolute,,
hover,0,cai,0.768545994,personal,absolute,,
hover,1,cai,0.87537092,personal,absolute,,
hover,2,cai,0.913946588,personal,absolute,,
hover,3,cai,0.940652819,personal,absolute,,
hover,4,cai,0.955489614,personal,absolute,,
place,0,luyiqin,0.706060606,personal,absolute,,
place,1,luyiqin,0.836363636,personal,absolute,,
place,2,luyiqin,0.890909091,personal,absolute,,
place,3,luyiqin,0.921212121,personal,absolute,,
place,4,luyiqin,0.948484848,personal,absolute,,
hover,0,luyiqin,0.531722054,personal,absolute,,
hover,1,luyiqin,0.673716012,personal,absolute,,
hover,2,luyiqin,0.740181269,personal,absolute,,
hover,3,luyiqin,0.791540785,personal,absolute,,
hover,4,luyiqin,0.824773414,personal,absolute,,
place,0,fjy,0.704819277,personal,absolute,,
place,1,fjy,0.837349398,personal,absolute,,
place,2,fjy,0.903614458,personal,absolute,,
place,3,fjy,0.936746988,personal,absolute,,
place,4,fjy,0.945783133,personal,absolute,,
hover,0,fjy,0.714285714,personal,absolute,,
hover,1,fjy,0.821428571,personal,absolute,,
hover,2,fjy,0.854166667,personal,absolute,,
hover,3,fjy,0.875,personal,absolute,,
hover,4,fjy,0.889880952,personal,absolute,,
place,0,lc,0.709677419,personal,absolute,,
place,1,lc,0.832844575,personal,absolute,,
place,2,lc,0.873900293,personal,absolute,,
place,3,lc,0.88856305,personal,absolute,,
place,4,lc,0.917888563,personal,absolute,,
hover,0,lc,0.821428571,personal,absolute,,
hover,1,lc,0.907738095,personal,absolute,,
hover,2,lc,0.931547619,personal,absolute,,
hover,3,lc,0.952380952,personal,absolute,,
hover,4,lc,0.961309524,personal,absolute,,
place,0,lwk,0.725373134,personal,absolute,,
place,1,lwk,0.859701493,personal,absolute,,
place,2,lwk,0.889552239,personal,absolute,,
place,3,lwk,0.901492537,personal,absolute,,
place,4,lwk,0.92238806,personal,absolute,,
hover,0,lwk,0.714723926,personal,absolute,,
hover,1,lwk,0.865030675,personal,absolute,,
hover,2,lwk,0.901840491,personal,absolute,,
hover,3,lwk,0.920245399,personal,absolute,,
hover,4,lwk,0.935582822,personal,absolute,,
place,0,lxy,0.818461538,personal,absolute,,
place,1,lxy,0.916923077,personal,absolute,,
place,2,lxy,0.935384615,personal,absolute,,
place,3,lxy,0.950769231,personal,absolute,,
place,4,lxy,0.96,personal,absolute,,
