mode,top,name,acc
place,0,wangchen1,0.8375
place,1,wangchen1,0.91875
place,2,wangchen1,0.946875
place,3,wangchen1,0.96875
place,4,wangchen1,0.975
hover,0,wangchen1,0.8575757575757575
hover,1,wangchen1,0.9424242424242424
hover,2,wangchen1,0.9636363636363636
hover,3,wangchen1,0.9727272727272728
hover,4,wangchen1,0.990909090909091
place,0,cai,0.4642857142857143
place,1,cai,0.6011904761904762
place,2,cai,0.6577380952380952
place,3,cai,0.6964285714285714
place,4,cai,0.7261904761904762
hover,0,cai,0.6231454005934718
hover,1,cai,0.7655786350148368
hover,2,cai,0.8338278931750742
hover,3,cai,0.8694362017804155
hover,4,cai,0.887240356083086
place,0,luyiqin,0.7
place,1,luyiqin,0.8212121212121212
place,2,luyiqin,0.8727272727272727
place,3,luyiqin,0.9090909090909091
place,4,luyiqin,0.9272727272727272
hover,0,luyiqin,0.5438066465256798
hover,1,luyiqin,0.6525679758308157
hover,2,luyiqin,0.7129909365558912
hover,3,luyiqin,0.7583081570996979
hover,4,luyiqin,0.7945619335347432
place,0,fjy,0.7048192771084337
place,1,fjy,0.8313253012048193
place,2,fjy,0.8674698795180723
place,3,fjy,0.8885542168674698
place,4,fjy,0.9036144578313253
hover,0,fjy,0.6398809523809523
hover,1,fjy,0.7857142857142857
hover,2,fjy,0.8333333333333334
hover,3,fjy,0.8601190476190477
hover,4,fjy,0.8928571428571429
place,0,lc,0.7067448680351907
place,1,lc,0.8035190615835777
place,2,lc,0.844574780058651
place,3,lc,0.873900293255132
place,4,lc,0.8885630498533724
hover,0,lc,0.7767857142857143
hover,1,lc,0.8988095238095238
hover,2,lc,0.9255952380952381
hover,3,lc,0.9404761904761905
hover,4,lc,0.9523809523809523
place,0,lwk,0.7104477611940299
place,1,lwk,0.8328358208955224
place,2,lwk,0.8895522388059701
place,3,lwk,0.9164179104477612
place,4,lwk,0.9313432835820895
hover,0,lwk,0.7147239263803681
hover,1,lwk,0.8343558282208589
hover,2,lwk,0.8711656441717791
hover,3,lwk,0.9049079754601227
hover,4,lwk,0.9141104294478528
place,0,lxy,0.7907692307692308
place,1,lxy,0.9046153846153846
place,2,lxy,0.9292307692307692
place,3,lxy,0.9476923076923077
place,4,lxy,0.9507692307692308
hover,0,lxy,0.8433734939759037
hover,1,lxy,0.9487951807228916
hover,2,lxy,0.9668674698795181
hover,3,lxy,0.9698795180722891
hover,4,lxy,0.9789156626506024
place,0,qdn,0.6994047619047619
place,1,qdn,0.8005952380952381
place,2,qdn,0.8452380952380952
place,3,qdn,0.8541666666666666
place,4,qdn,0.8601190476190477
hover,0,qdn,0.712166172106825
hover,1,qdn,0.8189910979228486
hover,2,qdn,0.884272997032641
hover,3,qdn,0.9080118694362018
hover,4,qdn,0.9287833827893175
place,0,wyd,0.7296511627906976
place,1,wyd,0.875
place,2,wyd,0.9215116279069767
place,3,wyd,0.9273255813953488
place,4,wyd,0.9447674418604651
hover,0,wyd,0.780564263322884
hover,1,wyd,0.8495297805642633
hover,2,wyd,0.8996865203761756
hover,3,wyd,0.9184952978056427
hover,4,wyd,0.9435736677115988
place,0,czt,0.5982404692082112
place,1,czt,0.7331378299120235
place,2,czt,0.8152492668621701
place,3,czt,0.8357771260997068
place,4,czt,0.8709677419354839
hover,0,czt,0.6116207951070336
hover,1,czt,0.7339449541284404
hover,2,czt,0.8012232415902141
hover,3,czt,0.8470948012232415
hover,4,czt,0.8746177370030581
place,0,gsh,0.8226299694189603
place,1,gsh,0.9327217125382263
place,2,gsh,0.9755351681957186
place,3,gsh,0.9847094801223242
place,4,gsh,0.9877675840978594
hover,0,gsh,0.8482142857142857
hover,1,gsh,0.9523809523809523
hover,2,gsh,0.9821428571428571
hover,3,gsh,0.9851190476190477
hover,4,gsh,0.9880952380952381
place,0,fsq,0.6578171091445427
place,1,fsq,0.7817109144542773
place,2,fsq,0.831858407079646
place,3,fsq,0.8731563421828908
place,4,fsq,0.8938053097345132
hover,0,fsq,0.6871345029239766
hover,1,fsq,0.8128654970760234
hover,2,fsq,0.8596491228070176
hover,3,fsq,0.9005847953216374
hover,4,fsq,0.9122807017543859
