mode,top,name,acc
hover,0,cai,0.5756676557863502
hover,1,cai,0.6824925816023739
hover,2,cai,0.7299703264094956
hover,3,cai,0.7596439169139466
hover,4,cai,0.7922848664688428
place,0,cai,0.4166666666666667
place,1,cai,0.5476190476190477
place,2,cai,0.6130952380952381
place,3,cai,0.6577380952380952
place,4,cai,0.6815476190476191
hover,0,luyiqin,0.4652567975830816
hover,1,luyiqin,0.5740181268882175
hover,2,luyiqin,0.6283987915407855
hover,3,luyiqin,0.6646525679758308
hover,4,luyiqin,0.6858006042296072
place,0,luyiqin,0.46060606060606063
place,1,luyiqin,0.5575757575757576
place,2,luyiqin,0.6363636363636364
place,3,luyiqin,0.7
place,4,luyiqin,0.7424242424242424
hover,0,fjy,0.6577380952380952
hover,1,fjy,0.7946428571428571
hover,2,fjy,0.8303571428571429
hover,3,fjy,0.8541666666666666
hover,4,fjy,0.8630952380952381
place,0,fjy,0.6506024096385542
place,1,fjy,0.7801204819277109
place,2,fjy,0.8343373493975904
place,3,fjy,0.8554216867469879
place,4,fjy,0.8734939759036144
hover,0,lc,0.7946428571428571
hover,1,lc,0.9107142857142857
hover,2,lc,0.9404761904761905
hover,3,lc,0.9494047619047619
hover,4,lc,0.9553571428571429
place,0,lc,0.4838709677419355
place,1,lc,0.5483870967741935
place,2,lc,0.6099706744868035
place,3,lc,0.6510263929618768
place,4,lc,0.6598240469208211
hover,0,lwk,0.450920245398773
hover,1,lwk,0.5521472392638037
hover,2,lwk,0.6257668711656442
hover,3,lwk,0.6809815950920245
hover,4,lwk,0.7024539877300614
place,0,lwk,0.5462686567164179
place,1,lwk,0.6985074626865672
place,2,lwk,0.764179104477612
place,3,lwk,0.7880597014925373
place,4,lwk,0.817910447761194
hover,0,lxy,0.6174698795180723
hover,1,lxy,0.7198795180722891
hover,2,lxy,0.7801204819277109
hover,3,lxy,0.8192771084337349
hover,4,lxy,0.8283132530120482
place,0,lxy,0.32
place,1,lxy,0.41846153846153844
place,2,lxy,0.48923076923076925
place,3,lxy,0.5230769230769231
place,4,lxy,0.56
hover,0,qdn,0.6409495548961425
hover,1,qdn,0.7626112759643917
hover,2,qdn,0.8071216617210683
hover,3,qdn,0.8427299703264095
hover,4,qdn,0.8545994065281899
place,0,qdn,0.6220238095238095
place,1,qdn,0.7440476190476191
place,2,qdn,0.7767857142857143
place,3,qdn,0.8095238095238095
place,4,qdn,0.8214285714285714
hover,0,wyd,0.7304075235109718
hover,1,wyd,0.8307210031347962
hover,2,wyd,0.877742946708464
hover,3,wyd,0.8996865203761756
hover,4,wyd,0.9090909090909091
place,0,wyd,0.6395348837209303
place,1,wyd,0.7819767441860465
place,2,wyd,0.8313953488372093
place,3,wyd,0.875
place,4,wyd,0.8895348837209303
hover,0,czt,0.5168195718654435
hover,1,czt,0.6391437308868502
hover,2,czt,0.691131498470948
hover,3,czt,0.72782874617737
hover,4,czt,0.7522935779816514
place,0,czt,0.4838709677419355
place,1,czt,0.5777126099706745
place,2,czt,0.6510263929618768
place,3,czt,0.6950146627565983
place,4,czt,0.718475073313783
hover,0,gsh,0.7827380952380952
hover,1,gsh,0.8898809523809523
hover,2,gsh,0.9315476190476191
hover,3,gsh,0.9553571428571429
hover,4,gsh,0.9642857142857143
place,0,gsh,0.8318042813455657
place,1,gsh,0.9296636085626911
place,2,gsh,0.963302752293578
place,3,gsh,0.963302752293578
place,4,gsh,0.963302752293578
hover,0,fsq,0.6608187134502924
hover,1,fsq,0.7660818713450293
hover,2,fsq,0.8128654970760234
hover,3,fsq,0.8245614035087719
hover,4,fsq,0.8567251461988304
place,0,fsq,0.4365781710914454
place,1,fsq,0.5250737463126843
place,2,fsq,0.5899705014749262
place,3,fsq,0.6224188790560472
place,4,fsq,0.6637168141592921
hover,0,wangchen1,0.8393939393939394
hover,1,wangchen1,0.9242424242424242
hover,2,wangchen1,0.9606060606060606
hover,3,wangchen1,0.9727272727272728
hover,4,wangchen1,0.9818181818181818
place,0,wangchen1,0.8125
place,1,wangchen1,0.909375
place,2,wangchen1,0.946875
place,3,wangchen1,0.95625
place,4,wangchen1,0.96875
