mode,top,name,acc,per
hover,0,wangchen1,0.809090909,personal
hover,1,wangchen1,0.903030303,personal
hover,2,wangchen1,0.945454545,personal
hover,3,wangchen1,0.951515152,personal
hover,4,wangchen1,0.963636364,personal
place,0,wangchen1,0.8125,personal
place,1,wangchen1,0.896875,personal
place,2,wangchen1,0.928125,personal
place,3,wangchen1,0.946875,personal
place,4,wangchen1,0.959375,personal
hover,0,cai,0.762611276,personal
hover,1,cai,0.887240356,personal
hover,2,cai,0.913946588,personal
hover,3,cai,0.946587537,personal
hover,4,cai,0.961424332,personal
place,0,cai,0.663690476,personal
place,1,cai,0.797619048,personal
place,2,cai,0.851190476,personal
place,3,cai,0.880952381,personal
place,4,cai,0.910714286,personal
hover,0,luyiqin,0.66163142,personal
hover,1,luyiqin,0.788519637,personal
hover,2,luyiqin,0.854984894,personal
hover,3,luyiqin,0.888217523,personal
hover,4,luyiqin,0.912386707,personal
place,0,luyiqin,0.733333333,personal
place,1,luyiqin,0.827272727,personal
place,2,luyiqin,0.866666667,personal
place,3,luyiqin,0.893939394,personal
place,4,luyiqin,0.924242424,personal
hover,0,fjy,0.732142857,personal
hover,1,fjy,0.869047619,personal
hover,2,fjy,0.919642857,personal
hover,3,fjy,0.931547619,personal
hover,4,fjy,0.931547619,personal
place,0,fjy,0.710843373,personal
place,1,fjy,0.834337349,personal
place,2,fjy,0.909638554,personal
place,3,fjy,0.924698795,personal
place,4,fjy,0.942771084,personal
hover,0,lc,0.836309524,personal
hover,1,lc,0.928571429,personal
hover,2,lc,0.958333333,personal
hover,3,lc,0.958333333,personal
hover,4,lc,0.964285714,personal
place,0,lc,0.794721408,personal
place,1,lc,0.891495601,personal
place,2,lc,0.926686217,personal
place,3,lc,0.938416422,personal
place,4,lc,0.941348974,personal
hover,0,lwk,0.742331288,personal
hover,1,lwk,0.877300613,personal
hover,2,lwk,0.914110429,personal
hover,3,lwk,0.926380368,personal
hover,4,lwk,0.935582822,personal
place,0,lwk,0.707462687,personal
place,1,lwk,0.856716418,personal
place,2,lwk,0.889552239,personal
place,3,lwk,0.910447761,personal
place,4,lwk,0.931343284,personal
hover,0,lxy,0.837349398,personal
hover,1,lxy,0.93373494,personal
