mode,top,name,acc
hover,0,cai,0.7388724035608308
hover,1,cai,0.884272997032641
hover,2,cai,0.913946587537092
hover,3,cai,0.9465875370919882
hover,4,cai,0.9525222551928784
place,0,cai,0.625
place,1,cai,0.7857142857142857
place,2,cai,0.8184523809523809
place,3,cai,0.8511904761904762
place,4,cai,0.875
hover,0,luyiqin,0.6132930513595166
hover,1,luyiqin,0.7280966767371602
hover,2,luyiqin,0.797583081570997
hover,3,luyiqin,0.8459214501510574
hover,4,luyiqin,0.8670694864048338
place,0,luyiqin,0.7121212121212122
place,1,luyiqin,0.8212121212121212
place,2,luyiqin,0.8666666666666667
place,3,luyiqin,0.8939393939393939
place,4,luyiqin,0.9212121212121213
hover,0,fjy,0.7261904761904762
hover,1,fjy,0.8720238095238095
hover,2,fjy,0.9077380952380952
hover,3,fjy,0.9226190476190477
hover,4,fjy,0.9285714285714286
place,0,fjy,0.6897590361445783
place,1,fjy,0.8343373493975904
place,2,fjy,0.9066265060240963
place,3,fjy,0.9337349397590361
place,4,fjy,0.9427710843373494
hover,0,lc,0.8363095238095238
hover,1,lc,0.9285714285714286
hover,2,lc,0.9523809523809523
hover,3,lc,0.9553571428571429
hover,4,lc,0.9583333333333334
place,0,lc,0.7536656891495601
place,1,lc,0.8768328445747801
place,2,lc,0.9032258064516129
place,3,lc,0.9237536656891495
place,4,lc,0.9384164222873901
hover,0,lwk,0.7423312883435583
hover,1,lwk,0.8742331288343558
hover,2,lwk,0.901840490797546
hover,3,lwk,0.9233128834355828
hover,4,lwk,0.941717791411043
place,0,lwk,0.7074626865671642
place,1,lwk,0.835820895522388
place,2,lwk,0.8835820895522388
place,3,lwk,0.8925373134328358
place,4,lwk,0.9283582089552239
hover,0,lxy,0.8042168674698795
hover,1,lxy,0.9156626506024096
hover,2,lxy,0.9548192771084337
hover,3,lxy,0.9578313253012049
hover,4,lxy,0.9578313253012049
place,0,lxy,0.7938461538461539
place,1,lxy,0.8769230769230769
place,2,lxy,0.9261538461538461
place,3,lxy,0.9415384615384615
place,4,lxy,0.9538461538461539
hover,0,qdn,0.7477744807121661
hover,1,qdn,0.8664688427299704
hover,2,qdn,0.9169139465875371
hover,3,qdn,0.9406528189910979
hover,4,qdn,0.9495548961424333
place,0,qdn,0.7648809523809523
place,1,qdn,0.8660714285714286
place,2,qdn,0.8988095238095238
place,3,qdn,0.9166666666666666
place,4,qdn,0.9345238095238095
hover,0,wyd,0.7554858934169278
hover,1,wyd,0.8683385579937304
hover,2,wyd,0.9059561128526645
hover,3,wyd,0.9278996865203761
hover,4,wyd,0.9498432601880877
place,0,wyd,0.7296511627906976
place,1,wyd,0.8662790697674418
place,2,wyd,0.9186046511627907
place,3,wyd,0.936046511627907
place,4,wyd,0.9563953488372093
hover,0,czt,0.672782874617737
hover,1,czt,0.8379204892966361
hover,2,czt,0.8868501529051988
hover,3,czt,0.9174311926605505
hover,4,czt,0.926605504587156
place,0,czt,0.6686217008797654
place,1,czt,0.8181818181818182
place,2,czt,0.8797653958944281
place,3,czt,0.9178885630498533
place,4,czt,0.9325513196480938
hover,0,gsh,0.8184523809523809
hover,1,gsh,0.9196428571428571
hover,2,gsh,0.9464285714285714
hover,3,gsh,0.9553571428571429
hover,4,gsh,0.9672619047619048
place,0,gsh,0.8470948012232415
place,1,gsh,0.9480122324159022
place,2,gsh,0.9724770642201835
place,3,gsh,0.9724770642201835
place,4,gsh,0.9724770642201835
hover,0,fsq,0.8011695906432749
hover,1,fsq,0.8830409356725146
hover,2,fsq,0.9210526315789473
hover,3,fsq,0.9473684210526315
hover,4,fsq,0.956140350877193
place,0,fsq,0.7138643067846607
place,1,fsq,0.8672566371681416
place,2,fsq,0.9056047197640118
place,3,fsq,0.9174041297935103
place,4,fsq,0.9321533923303835
hover,0,wangchen1,0.793939393939394
hover,1,wangchen1,0.8909090909090909
hover,2,wangchen1,0.9212121212121213
hover,3,wangchen1,0.9393939393939394
hover,4,wangchen1,0.9484848484848485
place,0,wangchen1,0.7875
place,1,wangchen1,0.878125
place,2,wangchen1,0.91875
place,3,wangchen1,0.9375
place,4,wangchen1,0.95
