mode,top,name,acc,k
place,0,wangchen1,0.853125,0.1
place,1,wangchen1,0.94375,0.1
place,2,wangchen1,0.95625,0.1
place,3,wangchen1,0.96875,0.1
place,4,wangchen1,0.98125,0.1
hover,0,wangchen1,0.896969697,0.1
hover,1,wangchen1,0.963636364,0.1
hover,2,wangchen1,0.96969697,0.1
hover,3,wangchen1,0.978787879,0.1
hover,4,wangchen1,0.984848485,0.1
place,0,cai,0.488095238,0.1
place,1,cai,0.592261905,0.1
place,2,cai,0.663690476,0.1
place,3,cai,0.711309524,0.1
place,4,cai,0.729166667,0.1
hover,0,cai,0.694362018,0.1
hover,1,cai,0.792284866,0.1
hover,2,cai,0.848664688,0.1
hover,3,cai,0.872403561,0.1
hover,4,cai,0.887240356,0.1
place,0,luyiqin,0.648484848,0.1
place,1,luyiqin,0.775757576,0.1
place,2,luyiqin,0.827272727,0.1
place,3,luyiqin,0.872727273,0.1
place,4,luyiqin,0.893939394,0.1
hover,0,luyiqin,0.468277946,0.1
hover,1,luyiqin,0.583081571,0.1
hover,2,luyiqin,0.640483384,0.1
hover,3,luyiqin,0.673716012,0.1
hover,4,luyiqin,0.70694864,0.1
place,0,fjy,0.656626506,0.1
place,1,fjy,0.807228916,0.1
place,2,fjy,0.864457831,0.1
place,3,fjy,0.897590361,0.1
place,4,fjy,0.924698795,0.1
hover,0,fjy,0.660714286,0.1
hover,1,fjy,0.821428571,0.1
hover,2,fjy,0.875,0.1
hover,3,fjy,0.898809524,0.1
hover,4,fjy,0.904761905,0.1
place,0,lc,0.68914956,0.1
place,1,lc,0.791788856,0.1
place,2,lc,0.832844575,0.1
place,3,lc,0.873900293,0.1
place,4,lc,0.885630499,0.1
hover,0,lc,0.8125,0.1
hover,1,lc,0.901785714,0.1
hover,2,lc,0.93452381,0.1
hover,3,lc,0.955357143,0.1
hover,4,lc,0.967261905,0.1
place,0,lwk,0.695522388,0.1
place,1,lwk,0.814925373,0.1
place,2,lwk,0.865671642,0.1
place,3,lwk,0.904477612,0.1
place,4,lwk,0.92238806,0.1
hover,0,lwk,0.653374233,0.1
hover,1,lwk,0.785276074,0.1
hover,2,lwk,0.831288344,0.1
hover,3,lwk,0.865030675,0.1
hover,4,lwk,0.889570552,0.1
place,0,lxy,0.627692308,0.1
place,1,lxy,0.766153846,0.1
place,2,lxy,0.821538462,0.1
place,3,lxy,0.855384615,0.1
place,4,lxy,0.870769231,0.1
hover,0,lxy,0.798192771,0.1
hover,1,lxy,0.915662651,0.1
hover,2,lxy,0.951807229,0.1
hover,3,lxy,0.96686747,0.1
hover,4,lxy,0.969879518,0.1
place,0,qdn,0.633928571,0.1
place,1,qdn,0.74702381,0.1
place,2,qdn,0.773809524,0.1
place,3,qdn,0.794642857,0.1
place,4,qdn,0.80952381,0.1
hover,0,qdn,0.703264095,0.1
hover,1,qdn,0.816023739,0.1
hover,2,qdn,0.881305638,0.1
hover,3,qdn,0.902077151,0.1
hover,4,qdn,0.922848665,0.1
place,0,wyd,0.662790698,0.1
place,1,wyd,0.805232558,0.1
place,2,wyd,0.834302326,0.1
place,3,wyd,0.863372093,0.1
place,4,wyd,0.89244186,0.1
hover,0,wyd,0.764890282,0.1
hover,1,wyd,0.852664577,0.1
hover,2,wyd,0.912225705,0.1
hover,3,wyd,0.937304075,0.1
hover,4,wyd,0.946708464,0.1
place,0,czt,0.560117302,0.1
place,1,czt,0.709677419,0.1
place,2,czt,0.75659824,0.1
place,3,czt,0.815249267,0.1
place,4,czt,0.84457478,0.1
hover,0,czt,0.584097859,0.1
hover,1,czt,0.709480122,0.1
hover,2,czt,0.764525994,0.1
hover,3,czt,0.80733945,0.1
hover,4,czt,0.825688073,0.1
place,0,gsh,0.886850153,0.1
place,1,gsh,0.951070336,0.1
place,2,gsh,0.96941896,0.1
place,3,gsh,0.978593272,0.1
place,4,gsh,0.987767584,0.1
hover,0,gsh,0.875,0.1
hover,1,gsh,0.955357143,0.1
hover,2,gsh,0.976190476,0.1
hover,3,gsh,0.985119048,0.1
hover,4,gsh,0.991071429,0.1
place,0,fsq,0.607669617,0.1
place,1,fsq,0.772861357,0.1
place,2,fsq,0.820058997,0.1
place,3,fsq,0.849557522,0.1
place,4,fsq,0.867256637,0.1
hover,0,fsq,0.698830409,0.1
hover,1,fsq,0.830409357,0.1
hover,2,fsq,0.871345029,0.1
hover,3,fsq,0.912280702,0.1
hover,4,fsq,0.915204678,0.1
place,0,wangchen1,0.85,0.4
place,1,wangchen1,0.925,0.4
place,2,wangchen1,0.953125,0.4
place,3,wangchen1,0.965625,0.4
place,4,wangchen1,0.96875,0.4
hover,0,wangchen1,0.875757576,0.4
hover,1,wangchen1,0.939393939,0.4
hover,2,wangchen1,0.972727273,0.4
hover,3,wangchen1,0.984848485,0.4
hover,4,wangchen1,0.987878788,0.4
place,0,cai,0.491071429,0.4
place,1,cai,0.616071429,0.4
place,2,cai,0.68452381,0.4
place,3,cai,0.696428571,0.4
place,4,cai,0.729166667,0.4
hover,0,cai,0.661721068,0.4
hover,1,cai,0.804154303,0.4
hover,2,cai,0.869436202,0.4
hover,3,cai,0.890207715,0.4
hover,4,cai,0.908011869,0.4
