mode,top,name,acc
place,0,wangchen1,0.853125
place,1,wangchen1,0.946875
place,2,wangchen1,0.95625
place,3,wangchen1,0.96875
place,4,wangchen1,0.98125
hover,0,wangchen1,0.896969696969697
hover,1,wangchen1,0.9636363636363636
hover,2,wangchen1,0.9696969696969697
hover,3,wangchen1,0.9787878787878788
hover,4,wangchen1,0.9848484848484849
place,0,cai,0.4583333333333333
place,1,cai,0.5744047619047619
place,2,cai,0.6517857142857143
place,3,cai,0.7023809523809523
place,4,cai,0.7232142857142857
hover,0,cai,0.6824925816023739
hover,1,cai,0.7893175074183977
hover,2,cai,0.8545994065281899
hover,3,cai,0.8783382789317508
hover,4,cai,0.887240356083086
place,0,luyiqin,0.6606060606060606
place,1,luyiqin,0.7787878787878788
place,2,luyiqin,0.8393939393939394
place,3,luyiqin,0.8787878787878788
place,4,luyiqin,0.9030303030303031
hover,0,luyiqin,0.48036253776435045
hover,1,luyiqin,0.6072507552870091
hover,2,luyiqin,0.6676737160120846
hover,3,luyiqin,0.6948640483383686
hover,4,luyiqin,0.7311178247734139
place,0,fjy,0.6536144578313253
place,1,fjy,0.8012048192771084
place,2,fjy,0.8704819277108434
place,3,fjy,0.9006024096385542
place,4,fjy,0.9216867469879518
hover,0,fjy,0.6755952380952381
hover,1,fjy,0.8333333333333334
hover,2,fjy,0.875
hover,3,fjy,0.8958333333333334
hover,4,fjy,0.9017857142857143
place,0,lc,0.6891495601173021
place,1,lc,0.8005865102639296
place,2,lc,0.8387096774193549
place,3,lc,0.8709677419354839
place,4,lc,0.8856304985337243
hover,0,lc,0.8154761904761905
hover,1,lc,0.9017857142857143
hover,2,lc,0.9345238095238095
hover,3,lc,0.9553571428571429
hover,4,lc,0.9672619047619048
place,0,lwk,0.6955223880597015
place,1,lwk,0.8029850746268656
place,2,lwk,0.8567164179104477
place,3,lwk,0.9014925373134328
place,4,lwk,0.9194029850746268
hover,0,lwk,0.6533742331288344
hover,1,lwk,0.7852760736196319
hover,2,lwk,0.8190184049079755
hover,3,lwk,0.8650306748466258
hover,4,lwk,0.8865030674846626
place,0,lxy,0.6523076923076923
place,1,lxy,0.7630769230769231
place,2,lxy,0.8369230769230769
place,3,lxy,0.8615384615384616
place,4,lxy,0.8769230769230769
hover,0,lxy,0.7981927710843374
hover,1,lxy,0.9156626506024096
hover,2,lxy,0.9518072289156626
hover,3,lxy,0.9668674698795181
hover,4,lxy,0.9698795180722891
place,0,qdn,0.6577380952380952
place,1,qdn,0.75
place,2,qdn,0.7738095238095238
place,3,qdn,0.8065476190476191
place,4,qdn,0.8184523809523809
hover,0,qdn,0.6884272997032641
hover,1,qdn,0.8041543026706232
hover,2,qdn,0.8694362017804155
hover,3,qdn,0.8991097922848664
hover,4,qdn,0.9198813056379822
place,0,wyd,0.6598837209302325
place,1,wyd,0.7906976744186046
place,2,wyd,0.8255813953488372
place,3,wyd,0.8604651162790697
place,4,wyd,0.875
hover,0,wyd,0.7586206896551724
hover,1,wyd,0.8495297805642633
hover,2,wyd,0.9153605015673981
hover,3,wyd,0.9341692789968652
hover,4,wyd,0.9467084639498433
place,0,czt,0.5777126099706745
place,1,czt,0.6979472140762464
place,2,czt,0.7712609970674487
place,3,czt,0.8211143695014663
place,4,czt,0.8357771260997068
hover,0,czt,0.5871559633027523
hover,1,czt,0.7247706422018348
hover,2,czt,0.7675840978593272
hover,3,czt,0.8073394495412844
hover,4,czt,0.8318042813455657
place,0,gsh,0.8899082568807339
place,1,gsh,0.9510703363914373
place,2,gsh,0.9694189602446484
place,3,gsh,0.9755351681957186
place,4,gsh,0.9877675840978594
hover,0,gsh,0.875
hover,1,gsh,0.9553571428571429
hover,2,gsh,0.9761904761904762
hover,3,gsh,0.9851190476190477
hover,4,gsh,0.9910714285714286
place,0,fsq,0.616519174041298
place,1,fsq,0.7728613569321534
place,2,fsq,0.8171091445427728
place,3,fsq,0.8466076696165191
place,4,fsq,0.8702064896755162
hover,0,fsq,0.7046783625730995
hover,1,fsq,0.8362573099415205
hover,2,fsq,0.8713450292397661
hover,3,fsq,0.9093567251461988
hover,4,fsq,0.9152046783625731
