mode,top,name,acc
place,0,wangchen1,0.8625
place,1,wangchen1,0.9375
place,2,wangchen1,0.965625
place,3,wangchen1,0.984375
place,4,wangchen1,0.990625
hover,0,wangchen1,0.9030303030303031
hover,1,wangchen1,0.9666666666666667
hover,2,wangchen1,0.9757575757575757
hover,3,wangchen1,0.9848484848484849
hover,4,wangchen1,0.990909090909091
place,0,cai,0.5059523809523809
place,1,cai,0.6517857142857143
place,2,cai,0.7142857142857143
place,3,cai,0.7797619047619048
place,4,cai,0.8065476190476191
hover,0,cai,0.7685459940652819
hover,1,cai,0.8753709198813057
hover,2,cai,0.913946587537092
hover,3,cai,0.9406528189910979
hover,4,cai,0.9554896142433235
place,0,luyiqin,0.706060606060606
place,1,luyiqin,0.8363636363636363
place,2,luyiqin,0.8909090909090909
place,3,luyiqin,0.9212121212121213
place,4,luyiqin,0.9484848484848485
hover,0,luyiqin,0.5317220543806647
hover,1,luyiqin,0.6737160120845922
hover,2,luyiqin,0.7401812688821753
hover,3,luyiqin,0.7915407854984894
hover,4,luyiqin,0.824773413897281
place,0,fjy,0.7048192771084337
place,1,fjy,0.8373493975903614
place,2,fjy,0.9036144578313253
place,3,fjy,0.9367469879518072
place,4,fjy,0.9457831325301205
hover,0,fjy,0.7142857142857143
hover,1,fjy,0.8214285714285714
hover,2,fjy,0.8541666666666666
hover,3,fjy,0.875
hover,4,fjy,0.8898809523809523
place,0,lc,0.7096774193548387
place,1,lc,0.8328445747800587
place,2,lc,0.873900293255132
place,3,lc,0.8885630498533724
place,4,lc,0.9178885630498533
hover,0,lc,0.8214285714285714
hover,1,lc,0.9077380952380952
hover,2,lc,0.9315476190476191
hover,3,lc,0.9523809523809523
hover,4,lc,0.9613095238095238
place,0,lwk,0.7253731343283583
place,1,lwk,0.8597014925373134
place,2,lwk,0.8895522388059701
place,3,lwk,0.9014925373134328
place,4,lwk,0.9223880597014925
hover,0,lwk,0.7147239263803681
hover,1,lwk,0.8650306748466258
hover,2,lwk,0.901840490797546
hover,3,lwk,0.9202453987730062
hover,4,lwk,0.9355828220858896
place,0,lxy,0.8184615384615385
place,1,lxy,0.916923076923077
place,2,lxy,0.9353846153846154
place,3,lxy,0.9507692307692308
place,4,lxy,0.96
hover,0,lxy,0.8674698795180723
hover,1,lxy,0.9548192771084337
hover,2,lxy,0.9698795180722891
hover,3,lxy,0.9698795180722891
hover,4,lxy,0.9849397590361446
place,0,qdn,0.7946428571428571
place,1,qdn,0.8571428571428571
place,2,qdn,0.8958333333333334
place,3,qdn,0.9226190476190477
place,4,qdn,0.9285714285714286
hover,0,qdn,0.7002967359050445
hover,1,qdn,0.8189910979228486
hover,2,qdn,0.8694362017804155
hover,3,qdn,0.9020771513353115
hover,4,qdn,0.9198813056379822
place,0,wyd,0.8168604651162791
place,1,wyd,0.936046511627907
place,2,wyd,0.9563953488372093
place,3,wyd,0.9622093023255814
place,4,wyd,0.9709302325581395
hover,0,wyd,0.7931034482758621
hover,1,wyd,0.8808777429467085
hover,2,wyd,0.9216300940438872
hover,3,wyd,0.9341692789968652
hover,4,wyd,0.9404388714733543
place,0,czt,0.6715542521994134
place,1,czt,0.8064516129032258
place,2,czt,0.873900293255132
place,3,czt,0.8973607038123167
place,4,czt,0.9178885630498533
hover,0,czt,0.6697247706422018
hover,1,czt,0.8042813455657493
hover,2,czt,0.8623853211009175
hover,3,czt,0.8807339449541285
hover,4,czt,0.9113149847094801
place,0,gsh,0.8899082568807339
place,1,gsh,0.9510703363914373
place,2,gsh,0.9724770642201835
place,3,gsh,0.981651376146789
place,4,gsh,0.9877675840978594
hover,0,gsh,0.875
hover,1,gsh,0.9583333333333334
hover,2,gsh,0.9851190476190477
hover,3,gsh,0.9880952380952381
hover,4,gsh,0.9910714285714286
place,0,fsq,0.6519174041297935
place,1,fsq,0.7964601769911505
place,2,fsq,0.8348082595870207
place,3,fsq,0.8613569321533924
place,4,fsq,0.9026548672566371
hover,0,fsq,0.7192982456140351
hover,1,fsq,0.8333333333333334
hover,2,fsq,0.868421052631579
hover,3,fsq,0.8918128654970761
hover,4,fsq,0.9093567251461988
