mode,top,name,acc
hover,0,wangchen1,0.8454545454545455
hover,1,wangchen1,0.9212121212121213
hover,2,wangchen1,0.9575757575757575
hover,3,wangchen1,0.9696969696969697
hover,4,wangchen1,0.9787878787878788
place,0,wangchen1,0.840625
place,1,wangchen1,0.91875
place,2,wangchen1,0.9625
place,3,wangchen1,0.975
place,4,wangchen1,0.98125
hover,0,cai,0.8456973293768546
hover,1,cai,0.9495548961424333
hover,2,cai,0.9643916913946587
hover,3,cai,0.9792284866468842
hover,4,cai,0.9821958456973294
place,0,cai,0.7886904761904762
place,1,cai,0.9345238095238095
place,2,cai,0.9553571428571429
place,3,cai,0.9732142857142857
place,4,cai,0.9761904761904762
hover,0,luyiqin,0.743202416918429
hover,1,luyiqin,0.8670694864048338
hover,2,luyiqin,0.9274924471299094
hover,3,luyiqin,0.9425981873111783
hover,4,luyiqin,0.9486404833836858
place,0,luyiqin,0.7757575757575758
place,1,luyiqin,0.8909090909090909
place,2,luyiqin,0.9212121212121213
place,3,luyiqin,0.9454545454545454
place,4,luyiqin,0.9666666666666667
hover,0,fjy,0.8065476190476191
hover,1,fjy,0.9285714285714286
hover,2,fjy,0.9553571428571429
hover,3,fjy,0.9732142857142857
hover,4,fjy,0.9732142857142857
place,0,fjy,0.8102409638554217
place,1,fjy,0.9186746987951807
place,2,fjy,0.9578313253012049
place,3,fjy,0.9698795180722891
place,4,fjy,0.9728915662650602
hover,0,lc,0.8630952380952381
hover,1,lc,0.9523809523809523
hover,2,lc,0.9732142857142857
hover,3,lc,0.9791666666666666
hover,4,lc,0.9821428571428571
place,0,lc,0.8533724340175953
place,1,lc,0.9501466275659824
place,2,lc,0.9648093841642229
place,3,lc,0.9706744868035191
place,4,lc,0.9765395894428153
hover,0,lwk,0.8466257668711656
hover,1,lwk,0.9478527607361963
hover,2,lwk,0.9570552147239264
hover,3,lwk,0.9662576687116564
hover,4,lwk,0.9723926380368099
place,0,lwk,0.8298507462686567
place,1,lwk,0.9432835820895522
place,2,lwk,0.9671641791044776
place,3,lwk,0.9731343283582089
place,4,lwk,0.9761194029850746
hover,0,lxy,0.8614457831325302
hover,1,lxy,0.9548192771084337
hover,2,lxy,0.963855421686747
hover,3,lxy,0.9759036144578314
hover,4,lxy,0.9789156626506024
place,0,lxy,0.8430769230769231
place,1,lxy,0.9323076923076923
place,2,lxy,0.9661538461538461
place,3,lxy,0.9661538461538461
place,4,lxy,0.9661538461538461
hover,0,qdn,0.8160237388724035
hover,1,qdn,0.9376854599406528
hover,2,qdn,0.9554896142433235
hover,3,qdn,0.9703264094955489
hover,4,qdn,0.973293768545994
place,0,qdn,0.8511904761904762
place,1,qdn,0.9315476190476191
place,2,qdn,0.9553571428571429
place,3,qdn,0.9583333333333334
place,4,qdn,0.9732142857142857
hover,0,wyd,0.8150470219435737
hover,1,wyd,0.9247648902821317
hover,2,wyd,0.9686520376175548
hover,3,wyd,0.9749216300940439
hover,4,wyd,0.9749216300940439
place,0,wyd,0.8197674418604651
place,1,wyd,0.9331395348837209
place,2,wyd,0.9709302325581395
place,3,wyd,0.9767441860465116
place,4,wyd,0.9767441860465116
hover,0,czt,0.7981651376146789
hover,1,czt,0.908256880733945
hover,2,czt,0.9510703363914373
hover,3,czt,0.9602446483180428
hover,4,czt,0.9694189602446484
place,0,czt,0.7448680351906158
place,1,czt,0.8944281524926686
place,2,czt,0.9384164222873901
place,3,czt,0.9648093841642229
place,4,czt,0.9706744868035191
hover,0,gsh,0.875
hover,1,gsh,0.9553571428571429
hover,2,gsh,0.9702380952380952
hover,3,gsh,0.9851190476190477
hover,4,gsh,0.9851190476190477
place,0,gsh,0.8960244648318043
place,1,gsh,0.963302752293578
place,2,gsh,0.981651376146789
place,3,gsh,0.9847094801223242
place,4,gsh,0.9847094801223242
hover,0,fsq,0.804093567251462
hover,1,fsq,0.9239766081871345
hover,2,fsq,0.956140350877193
hover,3,fsq,0.9707602339181286
hover,4,fsq,0.9766081871345029
place,0,fsq,0.7787610619469026
place,1,fsq,0.911504424778761
place,2,fsq,0.9351032448377581
place,3,fsq,0.9587020648967551
place,4,fsq,0.9734513274336283
