mode,top,name,acc
hover,0,cai,0.7477744807121661
hover,1,cai,0.8635014836795252
hover,2,cai,0.887240356083086
hover,3,cai,0.9169139465875371
hover,4,cai,0.9347181008902077
place,0,cai,0.5357142857142857
place,1,cai,0.6815476190476191
place,2,cai,0.7321428571428571
place,3,cai,0.7678571428571429
place,4,cai,0.7916666666666666
hover,0,luyiqin,0.5438066465256798
hover,1,luyiqin,0.676737160120846
hover,2,luyiqin,0.7462235649546828
hover,3,luyiqin,0.7945619335347432
hover,4,luyiqin,0.8277945619335347
place,0,luyiqin,0.7090909090909091
place,1,luyiqin,0.8303030303030303
place,2,luyiqin,0.8848484848484849
place,3,luyiqin,0.9181818181818182
place,4,luyiqin,0.9333333333333333
hover,0,fjy,0.6815476190476191
hover,1,fjy,0.7976190476190477
hover,2,fjy,0.8422619047619048
hover,3,fjy,0.8779761904761905
hover,4,fjy,0.8898809523809523
place,0,fjy,0.6957831325301205
place,1,fjy,0.8253012048192772
place,2,fjy,0.8825301204819277
place,3,fjy,0.9126506024096386
place,4,fjy,0.9307228915662651
hover,0,lc,0.8035714285714286
hover,1,lc,0.9107142857142857
hover,2,lc,0.9404761904761905
hover,3,lc,0.9553571428571429
hover,4,lc,0.9583333333333334
place,0,lc,0.7214076246334311
place,1,lc,0.8211143695014663
place,2,lc,0.8592375366568915
place,3,lc,0.8885630498533724
place,4,lc,0.906158357771261
hover,0,lwk,0.7239263803680982
hover,1,lwk,0.8466257668711656
hover,2,lwk,0.8865030674846626
hover,3,lwk,0.911042944785276
hover,4,lwk,0.9294478527607362
place,0,lwk,0.7164179104477612
place,1,lwk,0.8507462686567164
place,2,lwk,0.8895522388059701
place,3,lwk,0.9104477611940298
place,4,lwk,0.9253731343283582
hover,0,lxy,0.8614457831325302
hover,1,lxy,0.9457831325301205
hover,2,lxy,0.9608433734939759
hover,3,lxy,0.9698795180722891
hover,4,lxy,0.9759036144578314
place,0,lxy,0.8061538461538461
place,1,lxy,0.9076923076923077
place,2,lxy,0.9292307692307692
place,3,lxy,0.9415384615384615
place,4,lxy,0.9507692307692308
hover,0,qdn,0.7032640949554896
hover,1,qdn,0.8249258160237388
hover,2,qdn,0.8664688427299704
hover,3,qdn,0.8931750741839762
hover,4,qdn,0.9109792284866469
place,0,qdn,0.7708333333333334
place,1,qdn,0.8511904761904762
place,2,qdn,0.8928571428571429
place,3,qdn,0.8958333333333334
place,4,qdn,0.9136904761904762
hover,0,wyd,0.774294670846395
hover,1,wyd,0.8652037617554859
hover,2,wyd,0.9028213166144201
hover,3,wyd,0.9122257053291536
hover,4,wyd,0.9184952978056427
place,0,wyd,0.8168604651162791
place,1,wyd,0.9273255813953488
place,2,wyd,0.9476744186046512
place,3,wyd,0.9534883720930233
place,4,wyd,0.9680232558139535
hover,0,czt,0.6422018348623854
hover,1,czt,0.7889908256880734
hover,2,czt,0.8593272171253823
hover,3,czt,0.8837920489296636
hover,4,czt,0.9051987767584098
place,0,czt,0.6774193548387096
place,1,czt,0.8005865102639296
place,2,czt,0.8592375366568915
place,3,czt,0.8944281524926686
place,4,czt,0.9120234604105572
hover,0,gsh,0.8660714285714286
hover,1,gsh,0.9494047619047619
hover,2,gsh,0.9761904761904762
hover,3,gsh,0.9791666666666666
hover,4,gsh,0.9910714285714286
place,0,gsh,0.8960244648318043
place,1,gsh,0.9510703363914373
place,2,gsh,0.9694189602446484
place,3,gsh,0.9755351681957186
place,4,gsh,0.9847094801223242
hover,0,fsq,0.7134502923976608
hover,1,fsq,0.7953216374269005
hover,2,fsq,0.8625730994152047
hover,3,fsq,0.8859649122807017
hover,4,fsq,0.9064327485380117
place,0,fsq,0.6430678466076696
place,1,fsq,0.7787610619469026
place,2,fsq,0.8200589970501475
place,3,fsq,0.8525073746312685
place,4,fsq,0.887905604719764
hover,0,wangchen1,0.8939393939393939
hover,1,wangchen1,0.9606060606060606
hover,2,wangchen1,0.9787878787878788
hover,3,wangchen1,0.9848484848484849
hover,4,wangchen1,0.9878787878787879
place,0,wangchen1,0.8625
place,1,wangchen1,0.934375
place,2,wangchen1,0.959375
place,3,wangchen1,0.98125
place,4,wangchen1,0.9875
