mode,top,name,acc
hover,0,wangchen1,0.8
hover,1,wangchen1,0.896969696969697
hover,2,wangchen1,0.9454545454545454
hover,3,wangchen1,0.9484848484848485
hover,4,wangchen1,0.9484848484848485
place,0,wangchen1,0.775
place,1,wangchen1,0.875
place,2,wangchen1,0.915625
place,3,wangchen1,0.921875
place,4,wangchen1,0.94375
hover,0,cai,0.7655786350148368
hover,1,cai,0.8991097922848664
hover,2,cai,0.9258160237388724
hover,3,cai,0.9465875370919882
hover,4,cai,0.9525222551928784
place,0,cai,0.6488095238095238
place,1,cai,0.7857142857142857
place,2,cai,0.8452380952380952
place,3,cai,0.875
place,4,cai,0.8928571428571429
hover,0,luyiqin,0.6404833836858006
hover,1,luyiqin,0.7794561933534743
hover,2,luyiqin,0.8429003021148036
hover,3,luyiqin,0.8821752265861027
hover,4,luyiqin,0.9063444108761329
place,0,luyiqin,0.6909090909090909
place,1,luyiqin,0.8121212121212121
place,2,luyiqin,0.8515151515151516
place,3,luyiqin,0.8787878787878788
place,4,luyiqin,0.9030303030303031
hover,0,fjy,0.7470238095238095
hover,1,fjy,0.875
hover,2,fjy,0.9107142857142857
hover,3,fjy,0.9285714285714286
hover,4,fjy,0.9434523809523809
place,0,fjy,0.75
place,1,fjy,0.8795180722891566
place,2,fjy,0.9307228915662651
place,3,fjy,0.9337349397590361
place,4,fjy,0.9427710843373494
hover,0,lc,0.8363095238095238
hover,1,lc,0.9255952380952381
hover,2,lc,0.9523809523809523
hover,3,lc,0.9672619047619048
hover,4,lc,0.9702380952380952
place,0,lc,0.7976539589442815
place,1,lc,0.8973607038123167
place,2,lc,0.9237536656891495
place,3,lc,0.9501466275659824
place,4,lc,0.9589442815249267
hover,0,lwk,0.745398773006135
hover,1,lwk,0.8803680981595092
hover,2,lwk,0.9141104294478528
hover,3,lwk,0.9325153374233128
hover,4,lwk,0.941717791411043
place,0,lwk,0.6835820895522388
place,1,lwk,0.8388059701492537
place,2,lwk,0.9074626865671642
place,3,lwk,0.9253731343283582
place,4,lwk,0.9432835820895522
hover,0,lxy,0.8463855421686747
hover,1,lxy,0.9337349397590361
hover,2,lxy,0.9518072289156626
hover,3,lxy,0.963855421686747
hover,4,lxy,0.963855421686747
place,0,lxy,0.8092307692307692
place,1,lxy,0.9138461538461539
place,2,lxy,0.9446153846153846
place,3,lxy,0.96
place,4,lxy,0.96
hover,0,qdn,0.7626112759643917
hover,1,qdn,0.9020771513353115
hover,2,qdn,0.9258160237388724
hover,3,qdn,0.9406528189910979
hover,4,qdn,0.9465875370919882
place,0,qdn,0.8095238095238095
place,1,qdn,0.8898809523809523
place,2,qdn,0.9226190476190477
place,3,qdn,0.9375
place,4,qdn,0.9464285714285714
hover,0,wyd,0.7931034482758621
hover,1,wyd,0.9090909090909091
hover,2,wyd,0.9404388714733543
hover,3,wyd,0.9498432601880877
hover,4,wyd,0.9498432601880877
place,0,wyd,0.7616279069767442
place,1,wyd,0.877906976744186
place,2,wyd,0.9418604651162791
place,3,wyd,0.9680232558139535
place,4,wyd,0.9709302325581395
hover,0,czt,0.7431192660550459
hover,1,czt,0.8593272171253823
hover,2,czt,0.9051987767584098
hover,3,czt,0.944954128440367
hover,4,czt,0.9541284403669725
place,0,czt,0.6891495601173021
place,1,czt,0.8475073313782991
place,2,czt,0.8914956011730205
place,3,czt,0.9120234604105572
place,4,czt,0.9325513196480938
hover,0,gsh,0.8601190476190477
hover,1,gsh,0.9375
hover,2,gsh,0.9494047619047619
hover,3,gsh,0.9672619047619048
hover,4,gsh,0.9761904761904762
place,0,gsh,0.8562691131498471
place,1,gsh,0.9388379204892966
place,2,gsh,0.9602446483180428
place,3,gsh,0.9755351681957186
place,4,gsh,0.9755351681957186
hover,0,fsq,0.7748538011695907
hover,1,fsq,0.9005847953216374
hover,2,fsq,0.9385964912280702
hover,3,fsq,0.9532163742690059
hover,4,fsq,0.9619883040935673
place,0,fsq,0.7256637168141593
place,1,fsq,0.8643067846607669
place,2,fsq,0.8938053097345132
place,3,fsq,0.9203539823008849
place,4,fsq,0.9233038348082596
