name,mode,thumb,index,middle,ring,little
luyiqin,hover,0,27,1,0,0
luyiqin,place,1,24,18,10,0
lwk,hover,1,24,9,3,0
lwk,place,2,23,10,4,0
wyd,hover,4,23,14,6,1
wyd,place,4,22,16,6,1
cai,hover,2,26,19,7,0
cai,place,1,26,17,5,0
czt,hover,1,24,25,15,0
czt,place,1,21,26,17,1
fjy,hover,1,23,20,9,0
fjy,place,1,21,8,8,3
wangchen1,hover,1,24,6,9,0
wangchen1,place,1,23,6,11,0
gsh,hover,0,27,0,0,0
gsh,place,1,26,0,0,0
fsq,hover,1,27,0,0,0
fsq,place,1,26,0,0,0
lc,hover,1,21,18,13,0
lc,place,1,22,18,12,0
lxy,hover,1,26,11,8,3
lxy,place,1,24,17,8,2
qdn,hover,3,24,14,0,0
qdn,place,1,23,15,3,0
