name,mode,qt-dis,yp-dis,ratio
wangchen1,hover,32.48745851851852,55.14607099999999,0.5891164670374889
wangchen1,place,27.803640666666663,59.334952155797126,0.4685879006637102
cai,hover,30.68294157051281,38.273997948717934,0.8016654442952071
cai,place,18.871673491228055,31.237500142857165,0.6041352030387519
czt,hover,32.2620287745098,47.51144945945943,0.6790369298675754
czt,place,34.26602810344827,44.18365853723406,0.7755362330299541
fjy,hover,36.10377386568386,48.91439847006649,0.7381011521132743
fjy,place,42.18711583333333,47.644918,0.8854483878707343
fsq,hover,27.036692159916917,45.46841316722037,0.5946258133197516
fsq,place,23.795122750190988,35.602084137931044,0.6683631963230847
gsh,hover,40.56814440613028,41.75467226190477,0.9715833512395442
gsh,place,33.27012625,37.73696741012473,0.8816322172478999
lc,hover,34.83594981034483,58.920905109090924,0.5912324283859309
lc,place,35.44489816071429,52.866666956521726,0.6704583474094301
luyiqin,hover,19.416373052543808,32.82242378378376,0.5915581731699124
luyiqin,place,16.469551254901965,43.852971243243246,0.37556295019438507
lwk,hover,29.287735500000004,51.86622047619046,0.5646784213521927
lwk,place,28.608987870370356,46.10607048387095,0.6205037117699824
lxy,hover,47.18389831858408,61.86070323550991,0.7627442924298846
lxy,place,44.067361813690894,59.345611284722224,0.7425546870225849
qdn,hover,28.083313760683765,45.738217478260886,0.6140010544580493
qdn,place,24.672852338709678,43.45592055555553,0.5677673381045296
wyd,hover,20.81235444444444,50.120013044871804,0.41525037963999345
wyd,place,26.58961108333333,45.49153221130223,0.5844958345176869
