subject, mode, x, y, char
luyiqin,hover,33.87197368421053,161.81044736842102,a
luyiqin,hover,35.05197368421052,163.04044736842104,a
luyiqin,hover,35.29197368421053,160.13044736842107,a
luyiqin,hover,39.57197368421053,160.11044736842103,a
luyiqin,hover,41.461973684210534,159.40044736842106,a
luyiqin,hover,48.381973684210536,163.54044736842104,a
luyiqin,hover,46.771973684210536,159.38044736842107,a
luyiqin,hover,50.57197368421053,156.09044736842105,a
luyiqin,hover,50.14197368421053,148.25044736842102,a
luyiqin,hover,45.211973684210534,156.07044736842107,a
luyiqin,hover,55.05197368421052,160.08044736842106,a
luyiqin,hover,47.39197368421053,160.38044736842107,a
luyiqin,hover,50.111973684210525,159.84044736842105,a
luyiqin,hover,44.53197368421053,159.85044736842104,a
luyiqin,hover,54.41197368421054,159.66044736842105,a
luyiqin,hover,47.30197368421052,155.61044736842103,a
luyiqin,hover,45.461973684210534,156.22044736842105,a
luyiqin,hover,44.07197368421053,156.08044736842106,a
luyiqin,hover,44.381973684210536,159.00044736842102,a
luyiqin,hover,50.23197368421053,152.84044736842105,a
luyiqin,hover,48.59197368421053,152.08044736842106,a
luyiqin,hover,41.90197368421053,154.01044736842107,a
luyiqin,hover,46.59197368421053,155.60044736842104,a
luyiqin,hover,47.39197368421053,154.76044736842107,a
luyiqin,hover,41.90197368421053,153.45044736842107,a
luyiqin,hover,34.31197368421053,150.88044736842107,a
luyiqin,hover,37.68197368421053,162.18044736842103,a
luyiqin,hover,45.991973684210535,161.63044736842107,a
luyiqin,hover,45.631973684210536,162.33044736842106,a
luyiqin,hover,39.211973684210534,161.44044736842108,a
luyiqin,hover,42.07197368421053,162.98044736842104,a
luyiqin,hover,40.521973684210536,163.45044736842107,a
luyiqin,hover,42.76197368421053,160.70044736842107,a
luyiqin,hover,38.331973684210524,156.59044736842105,a
luyiqin,hover,41.93197368421053,156.52044736842106,a
luyiqin,hover,38.331973684210524,160.16044736842105,a
luyiqin,hover,27.91197368421053,161.49044736842103,a
luyiqin,hover,37.14197368421053,156.07044736842107,a
luyiqin,hover,37.64197368421053,157.07044736842107,a
luyiqin,hover,29.03197368421053,155.91044736842105,a
luyiqin,hover,37.65197368421053,154.08044736842106,a
luyiqin,hover,34.59197368421053,152.50044736842102,a
luyiqin,hover,33.80197368421053,156.02044736842106,a
luyiqin,hover,34.70197368421053,155.71044736842106,a
luyiqin,hover,29.45197368421053,156.08044736842106,a
luyiqin,hover,34.70197368421053,155.35044736842104,a
luyiqin,hover,28.16197368421053,148.57044736842107,a
luyiqin,hover,28.97197368421053,154.13044736842107,a
luyiqin,hover,29.64197368421053,156.08044736842106,a
luyiqin,hover,38.601973684210535,146.00044736842102,a
luyiqin,hover,34.14197368421053,151.42044736842104,a
luyiqin,hover,26.53197368421053,147.27044736842106,a
luyiqin,hover,30.14197368421053,161.44044736842108,a
luyiqin,hover,27.76197368421053,159.97044736842105,a
luyiqin,hover,30.04197368421053,161.87044736842103,a
luyiqin,hover,33.78197368421053,162.98044736842104,a
luyiqin,hover,28.99197368421053,156.75044736842102,a
luyiqin,hover,29.00197368421053,163.10044736842104,a
luyiqin,hover,29.71197368421053,159.61044736842103,a
luyiqin,hover,22.34197368421053,163.27044736842106,a
luyiqin,hover,22.14197368421053,160.37044736842103,a
luyiqin,hover,26.63197368421053,156.76044736842107,a
luyiqin,hover,24.36197368421053,154.30044736842103,a
luyiqin,hover,22.14197368421053,154.32044736842107,a
luyiqin,hover,30.93197368421053,151.71044736842106,a
luyiqin,hover,29.34197368421053,152.26044736842107,a
luyiqin,hover,26.89197368421053,147.82044736842107,a
luyiqin,hover,25.85197368421053,146.84044736842105,a
luyiqin,hover,23.50197368421053,151.61044736842103,a
luyiqin,hover,32.68197368421053,150.56044736842102,a
luyiqin,hover,31.12197368421053,151.08044736842106,a
luyiqin,hover,28.58197368421053,150.04044736842104,a
luyiqin,hover,24.65197368421053,148.16044736842105,a
luyiqin,hover,24.19197368421053,145.67044736842104,a
luyiqin,hover,22.43197368421053,147.50044736842102,a
luyiqin,hover,34.04197368421053,150.92044736842104,a
luyiqin,hover,35.14197368421053,156.08044736842106,a
luyiqin,hover,28.76197368421053,150.68044736842103,a
luyiqin,hover,25.68197368421053,146.56044736842102,a
luyiqin,hover,25.51197368421053,149.51044736842107,a
luyiqin,hover,19.70197368421053,154.46044736842106,a
luyiqin,hover,25.71197368421053,146.98044736842104,a
luyiqin,hover,17.45197368421053,149.60044736842104,a
luyiqin,hover,21.50197368421053,153.77044736842106,a
luyiqin,hover,20.85197368421053,148.34044736842105,a
luyiqin,hover,22.41197368421053,140.94044736842108,a
luyiqin,hover,14.55197368421053,148.08044736842106,a
luyiqin,hover,15.01197368421053,154.58044736842106,a
luyiqin,hover,20.64197368421053,156.08044736842106,a
luyiqin,hover,13.96197368421053,159.52044736842106,a
luyiqin,hover,12.87197368421053,156.08044736842106,a
luyiqin,hover,16.85197368421053,149.09044736842105,a
luyiqin,hover,30.00197368421053,163.68044736842103,a
luyiqin,hover,45.831973684210524,152.77044736842106,b
luyiqin,hover,57.98197368421053,144.51044736842107,b
